,PredictedValueExtensiveModel
2239,2450231.0
2240,129573.2
2241,-964451.5
2246,838528.5
2247,30031.072
2248,1749145.5
2249,701568.94
2250,1122101.5
2251,-518861.38
2253,500541.2
2254,-1964795.8
2255,-563798.94
2256,-982092.3
2257,-339965.47
2258,951669.25
2259,1051261.9
2260,647748.2
2261,-873277.5
2262,-359109.94
2263,711042.5
2264,-459732.53
2265,-1237054.5
2266,391648.9
2268,2502287.8
2269,-270142.5
2270,772366.6
2271,8351.568
2275,620893.25
2276,1429220.9
2277,244936.48
2278,151524.34
2279,284013.7
2281,3285487.5
2282,141119.69
2283,-566151.9
2284,-2156750.5
2285,200497.08
2286,652461.5
2287,1114648.1
2288,1959678.1
2289,279318.8
2290,-26107.74
2291,1030900.0
2292,-1191515.5
2293,432529.0
2294,98780.01
2295,1069940.8
2296,1908457.9
2297,225570.42
2298,-1821118.1
2303,1472704.4
2304,571323.6
2305,53007.18
2307,1251765.4
2308,-461887.7
2309,917615.8
2310,139281.5
2311,-941216.6
2312,1816487.4
2313,413545.84
2314,1163882.4
2315,501492.2
2316,331337.66
2317,-1121572.4
2318,2087791.1
2319,308966.62
2321,876647.94
2323,-270142.5
2324,1255528.0
2325,413629.7
2326,-449240.97
2330,423694.5
2331,-905965.0
2332,344831.7
2333,-96346.875
2334,-711501.4
2335,-110449.5
2336,-411061.75
2337,-2565004.8
2338,994944.7
2339,-1109557.8
2341,1204905.9
2342,-889089.2
2343,1211272.0
2344,2096851.9
2346,-404075.62
2347,-267723.4
2348,-371081.84
2349,-856156.4
2350,1557708.0
2351,-29742.834
2352,-183599.44
2353,795006.4
2354,-8701.862
2358,634160.2
2359,1393058.2
2360,378364.0
2362,573315.94
2363,56504.29
2364,-137074.66
2365,-639473.8
2366,-3680051.2
2367,479647.06
2368,215906.1
2369,-1305018.0
2370,393079.38
2371,648231.56
2372,-490482.16
2373,-6542.6494
2374,-207224.67
2375,-215701.12
2376,2262455.0
2377,-26118.154
2378,307128.34
2379,-673398.75
2380,-1416933.0
2381,307128.34
2382,-644210.1
2386,1279724.2
2387,161744.48
2388,-755917.9
2389,511788.44
2390,1049739.9
2391,-3601227.5
2392,212530.86
2393,1032769.7
2394,1248130.0
2395,-527502.44
2396,836103.7
2397,136206.0
2398,1657446.8
2399,-339449.75
2400,-306030.47
2401,-424494.0
2402,903013.1
2403,147625.03
2404,190808.48
2405,-3510.3186
2406,-231977.88
2407,451622.7
2411,656043.3
2412,628428.25
2413,691176.7
2414,-798030.06
2415,-371890.12
2416,898199.3
2417,1041731.1
