,PredictedValueSimpleModel
12264,193596.42
12290,320058.16
12291,-62204.14
12292,291875.56
12317,160602.19
12318,263983.5
12319,170437.36
12350,1126186.9
12351,307080.06
12352,72664.78
12374,332610.6
12375,123275.875
12376,60656.188
12401,304596.53
12402,384694.12
12403,65768.02
12423,267565.75
12424,72664.78
12425,85200.35
12450,438754.12
12451,253711.9
12452,246313.75
12453,86289.64
12476,469238.66
12477,149141.47
12478,12299.228
12498,351419.66
12499,267565.75
12500,12299.228
12523,125603.13
12524,55730.53
12525,31644.059
12552,193596.42
12553,294976.0
12554,192148.84
12578,401767.9
12579,100521.56
12580,229375.03
12604,297603.28
12605,90126.02
12631,290851.16
12632,266329.38
12654,243450.56
12655,180348.03
12656,73004.88
12680,56002.05
12681,5402.462
12682,12299.228
12683,5402.462
12710,1686028.9
12711,1470312.5
12712,207039.81
12713,98988.336
12739,1517772.2
12740,247455.75
12741,326658.03
12742,414038.88
12771,824593.0
12772,1959974.0
12773,145446.05
12774,115220.41
12802,445059.9
12803,869265.2
12804,307797.53
12832,176593.39
12833,309075.97
12834,37070.46
12862,322555.62
12863,121628.38
12864,-33048.246
12865,127123.18
12866,146115.28
12893,482486.22
12894,115775.44
12895,114908.73
12919,1604739.5
12920,385231.53
12921,468359.22
12922,107510.57
12950,405419.16
12951,274437.03
12952,110786.8
12953,233180.56
12981,396007.8
12982,281622.8
12983,360806.5
13012,898275.94
13013,294343.78
13014,231279.19
13015,311407.34
13016,30173.701
13045,208712.84
13046,91595.31
13047,22775.545
13077,257269.12
13078,295297.2
13079,855840.7
13102,700304.8
13103,210649.52
13104,114908.73
13131,559667.56
13161,292874.66
13162,110872.664
13163,-25742.8
13164,23778.998
13195,577236.0
13196,120729.89
13197,103725.06
13198,95978.484
13224,255795.61
13225,275413.44
13226,-25742.8
13249,409230.38
13250,214779.44
13251,213735.98
13276,38470.63
13277,-25742.8
13278,139785.61
13308,103725.06
13309,125948.664
13338,259110.23
13340,19573.332
13375,248712.56
13376,389143.44
13401,96326.91
13402,517342.34
13403,139785.61
13404,14409.748
13432,55931.867
13433,89081.72
13466,343571.7
13467,102324.86
13468,11243.433
13469,58992.266
13492,362076.8
13493,248712.56
13517,147529.34
13518,241152.38
13544,259110.23
13545,14041.591
13575,89987.87
13576,174896.56
13604,238397.66
13605,248044.45
13606,41782.664
13632,31145.387
13633,-83789.55
13659,31145.387
13660,174063.7
13661,229020.69
13688,66895.27
13689,109696.12
13690,-25742.8
13716,98038.57
13717,188723.14
13718,174063.7
13751,238282.42
13752,396894.62
13753,58992.266
13776,305046.0
13777,115356.54
13800,396894.62
13801,293231.78
13829,58992.266
13830,32335.414
13831,-25742.8
13853,58992.266
13854,58992.266
13910,204153.14
13911,58992.266
13932,211062.94
13933,98038.57
13954,266007.03
13970,217270.33
13971,928740.0
13972,163090.4
13973,111382.43
14002,1545885.1
14003,628869.2
14004,521455.88
14005,1243821.6
14028,725469.75
14029,712443.94
14030,352105.44
14057,393915.2
14081,1034068.44
14082,362867.06
14083,588644.2
14105,385233.06
14106,413789.12
14107,176007.75
14132,982201.0
14133,397473.2
14160,314270.88
14161,45229.438
14183,487767.44
14184,136928.55
14209,266943.28
14210,277234.03
14231,415270.75
14232,112908.54
14256,271272.7
14257,421833.5
14279,280379.38
14280,305820.06
14305,127743.02
14306,247426.78
14307,258254.75
14332,269886.3
14333,346072.12
14351,664113.6
14352,-44324.938
14377,228369.34
14378,336690.2
14379,-244606.66
14404,133295.28
14405,188346.34
14406,7934.4395
14427,39961.03
14428,-44774.016
14448,260665.06
14449,-52531.633
14472,120727.03
14473,349247.34
14495,152566.94
14496,134208.62
14518,16574972.0
14519,2356859.0
14520,504357.78
14521,621059.56
14549,9415220.0
14550,2061948.8
14551,621772.7
14579,456341.53
14580,120853.7
14608,346482.1
14609,340371.44
14610,36118.668
14611,275181.3
14612,73678.55
14638,90834.97
14639,220763.55
14667,1041208.7
14668,295778.22
14669,120853.7
14693,1269881.2
14694,537670.94
14695,797420.44
14716,262267.28
14717,106558.78
14718,214346.6
14741,692194.1
14742,227541.81
14743,80575.31
14768,655459.06
14769,480183.34
14770,356568.0
14771,-34000.043
14796,627431.25
14797,209705.16
14798,36118.668
14822,244848.58
14823,41779.09
14848,334249.72
14849,202096.84
14850,36118.668
14870,133179.34
14871,50734.996
14872,231319.9
14896,102843.69
14897,280462.7
14898,36118.668
14923,350638.6
14924,368756.1
14925,29221.908
14948,6740465.0
14949,220792.66
14950,366543.9
14974,656602.25
14975,305866.1
14976,560876.9
15003,2998824.8
15004,405823.4
15005,1743567.4
15006,51686.79
15033,499153.97
15034,114908.73
15035,37070.46
15062,1534264.0
15063,208479.94
15064,254658.84
15065,30173.701
15096,728019.3
15097,444428.1
15098,172538.19
15099,370479.16
15100,321883.53
15131,196819.16
15132,107488.375
15133,177506.31
15164,273871.53
15165,270576.22
15166,277250.84
15167,589140.1
15198,1160605.6
15199,511538.44
15200,273871.53
15225,541195.2
15226,330298.03
15227,74630.336
15253,791528.0
15254,274224.66
15255,121805.49
15282,760454.56
15283,354916.88
