,LeagueCountry,NationalLeagueLevel,InternationalTeam,League,Club,Age,ClubSince,ActiveInternational,FormerInternational,InternationalGames,Trending,Value
1669,Deutschland,2.Liga,Deutschland,2. Bundesliga,Hannover 96,34.0,1416.0,0,1,6.0,0,700000.0
1670,Deutschland,2.Liga,,2. Bundesliga,Hannover 96,26.0,1781.0,0,0,0.0,0,300000.0
1671,Deutschland,2.Liga,Deutschland U18,2. Bundesliga,Hannover 96,23.0,320.0,0,1,1.0,1,125000.0
1697,Deutschland,2.Liga,Österreich,2. Bundesliga,Arm. Bielefeld,30.0,266.0,0,0,0.0,0,600000.0
1698,Deutschland,2.Liga,,2. Bundesliga,Arm. Bielefeld,28.0,110.0,0,0,0.0,0,100000.0
1699,Deutschland,2.Liga,Deutschland U19,2. Bundesliga,Arm. Bielefeld,20.0,807.0,0,1,0.0,1,100000.0
1700,Deutschland,2.Liga,,2. Bundesliga,Arm. Bielefeld,19.0,320.0,0,0,0.0,1,50000.0
1724,Deutschland,2.Liga,Schweden,2. Bundesliga,Greuther Fürth,29.0,492.0,0,0,1.0,0,600000.0
1725,Deutschland,2.Liga,Deutschland U19,2. Bundesliga,Greuther Fürth,24.0,1781.0,0,1,1.0,1,200000.0
1726,Deutschland,2.Liga,Finnland U21,2. Bundesliga,Greuther Fürth,20.0,685.0,1,0,1.0,0,125000.0
1752,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,1.FC Heidenheim,32.0,2877.0,0,1,7.0,0,600000.0
1753,Deutschland,2.Liga,,2. Bundesliga,1.FC Heidenheim,32.0,2311.0,0,0,0.0,0,250000.0
1754,Deutschland,2.Liga,Österreich U18,2. Bundesliga,1.FC Heidenheim,21.0,685.0,0,1,2.0,1,100000.0
1779,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,Karlsruher SC,27.0,1416.0,0,1,0.0,1,800000.0
1780,Deutschland,2.Liga,,2. Bundesliga,Karlsruher SC,27.0,320.0,0,0,0.0,0,200000.0
1781,Deutschland,2.Liga,Deutschland U19,2. Bundesliga,Karlsruher SC,18.0,320.0,0,0,3.0,1,200000.0
1809,Deutschland,2.Liga,Deutschland U21,2. Bundesliga,SC Paderborn,29.0,1416.0,0,1,2.0,0,700000.0
1810,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,SC Paderborn,29.0,2146.0,0,1,1.0,0,400000.0
1811,Deutschland,2.Liga,,2. Bundesliga,SC Paderborn,25.0,295.0,0,0,0.0,1,225000.0
1812,Deutschland,2.Liga,,2. Bundesliga,SC Paderborn,22.0,1050.0,0,0,0.0,1,100000.0
1835,Deutschland,2.Liga,Deutschland U18,2. Bundesliga,E. Braunschweig,24.0,320.0,0,1,2.0,0,400000.0
1836,Deutschland,2.Liga,Bosnien,2. Bundesliga,E. Braunschweig,37.0,1591.0,0,1,1.0,0,250000.0
1837,Deutschland,2.Liga,,2. Bundesliga,E. Braunschweig,21.0,685.0,0,0,0.0,1,50000.0
1864,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,Holstein Kiel,21.0,320.0,0,1,2.0,1,600000.0
1865,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,Holstein Kiel,29.0,1050.0,0,1,4.0,1,600000.0
